Kategoria,Język 1,Język 2,Średnia odległość Levenshteina
places_in_town,Angielski,Francuski,5.69
places_in_town,Angielski,Wloski,7.00
places_in_town,Angielski,Hiszpanski,6.77
places_in_town,Angielski,Niemiecki,4.92
places_in_town,Angielski,Polski,5.46
places_in_town,Angielski,Czeski,5.62
places_in_town,Francuski,Wloski,6.54
places_in_town,Francuski,Hiszpanski,5.92
places_in_town,Francuski,Niemiecki,6.15
places_in_town,Francuski,Polski,6.00
places_in_town,Francuski,Czeski,7.31
places_in_town,Wloski,Hiszpanski,4.77
places_in_town,Wloski,Niemiecki,7.69
places_in_town,Wloski,Polski,6.23
places_in_town,Wloski,Czeski,7.23
places_in_town,Hiszpanski,Niemiecki,8.15
places_in_town,Hiszpanski,Polski,6.62
places_in_town,Hiszpanski,Czeski,8.23
places_in_town,Niemiecki,Polski,6.23
places_in_town,Niemiecki,Czeski,6.23
places_in_town,Polski,Czeski,5.92
jobs,Angielski,Francuski,3.33
jobs,Angielski,Wloski,8.67
jobs,Angielski,Hiszpanski,4.33
jobs,Angielski,Niemiecki,7.67
jobs,Angielski,Polski,7.33
jobs,Angielski,Czeski,8.33
jobs,Francuski,Wloski,10.33
jobs,Francuski,Hiszpanski,5.33
jobs,Francuski,Niemiecki,9.00
jobs,Francuski,Polski,8.33
jobs,Francuski,Czeski,10.00
jobs,Wloski,Hiszpanski,7.33
jobs,Wloski,Niemiecki,9.67
jobs,Wloski,Polski,9.00
jobs,Wloski,Czeski,8.67
jobs,Hiszpanski,Niemiecki,9.33
jobs,Hiszpanski,Polski,8.00
jobs,Hiszpanski,Czeski,8.33
jobs,Niemiecki,Polski,9.33
jobs,Niemiecki,Czeski,9.33
jobs,Polski,Czeski,8.33
hobbies,Angielski,Francuski,7.88
hobbies,Angielski,Wloski,9.12
hobbies,Angielski,Hiszpanski,8.17
hobbies,Angielski,Niemiecki,7.38
hobbies,Angielski,Polski,7.50
hobbies,Angielski,Czeski,7.38
hobbies,Francuski,Wloski,8.42
hobbies,Francuski,Hiszpanski,8.62
hobbies,Francuski,Niemiecki,9.33
hobbies,Francuski,Polski,9.54
hobbies,Francuski,Czeski,9.46
hobbies,Wloski,Hiszpanski,9.00
hobbies,Wloski,Niemiecki,10.08
hobbies,Wloski,Polski,10.29
hobbies,Wloski,Czeski,10.33
hobbies,Hiszpanski,Niemiecki,9.54
hobbies,Hiszpanski,Polski,9.21
hobbies,Hiszpanski,Czeski,9.17
hobbies,Niemiecki,Polski,9.12
hobbies,Niemiecki,Czeski,8.83
hobbies,Polski,Czeski,6.88
drinks,Angielski,Francuski,3.46
drinks,Angielski,Wloski,4.43
drinks,Angielski,Hiszpanski,4.64
drinks,Angielski,Niemiecki,3.61
drinks,Angielski,Polski,4.39
drinks,Angielski,Czeski,3.82
drinks,Francuski,Wloski,3.71
drinks,Francuski,Hiszpanski,4.57
drinks,Francuski,Niemiecki,4.43
drinks,Francuski,Polski,4.71
drinks,Francuski,Czeski,4.54
drinks,Wloski,Hiszpanski,3.43
drinks,Wloski,Niemiecki,5.50
drinks,Wloski,Polski,4.68
drinks,Wloski,Czeski,5.07
drinks,Hiszpanski,Niemiecki,5.86
drinks,Hiszpanski,Polski,4.71
drinks,Hiszpanski,Czeski,4.89
drinks,Niemiecki,Polski,4.93
drinks,Niemiecki,Czeski,4.46
drinks,Polski,Czeski,3.50
partsOfHouse,Angielski,Francuski,5.90
partsOfHouse,Angielski,Wloski,6.38
partsOfHouse,Angielski,Hiszpanski,6.75
partsOfHouse,Angielski,Niemiecki,6.00
partsOfHouse,Angielski,Polski,7.40
partsOfHouse,Angielski,Czeski,5.67
partsOfHouse,Francuski,Wloski,6.12
partsOfHouse,Francuski,Hiszpanski,7.25
partsOfHouse,Francuski,Niemiecki,7.10
partsOfHouse,Francuski,Polski,7.67
partsOfHouse,Francuski,Czeski,7.33
partsOfHouse,Wloski,Hiszpanski,6.40
partsOfHouse,Wloski,Niemiecki,7.95
partsOfHouse,Wloski,Polski,7.72
partsOfHouse,Wloski,Czeski,7.50
partsOfHouse,Hiszpanski,Niemiecki,8.12
partsOfHouse,Hiszpanski,Polski,8.05
partsOfHouse,Hiszpanski,Czeski,7.45
partsOfHouse,Niemiecki,Polski,7.58
partsOfHouse,Niemiecki,Czeski,6.75
partsOfHouse,Polski,Czeski,5.35
instruments,Angielski,Francuski,2.80
instruments,Angielski,Wloski,3.25
instruments,Angielski,Hiszpanski,3.25
instruments,Angielski,Niemiecki,1.85
instruments,Angielski,Polski,4.00
instruments,Angielski,Czeski,3.15
instruments,Francuski,Wloski,3.10
instruments,Francuski,Hiszpanski,3.60
instruments,Francuski,Niemiecki,3.00
instruments,Francuski,Polski,3.70
instruments,Francuski,Czeski,4.15
instruments,Wloski,Hiszpanski,2.00
instruments,Wloski,Niemiecki,3.25
instruments,Wloski,Polski,3.45
instruments,Wloski,Czeski,3.80
instruments,Hiszpanski,Niemiecki,3.55
instruments,Hiszpanski,Polski,3.75
instruments,Hiszpanski,Czeski,4.25
instruments,Niemiecki,Polski,3.50
instruments,Niemiecki,Czeski,2.65
instruments,Polski,Czeski,3.40
technology,Angielski,Francuski,6.89
technology,Angielski,Wloski,5.47
technology,Angielski,Hiszpanski,6.53
technology,Angielski,Niemiecki,2.32
technology,Angielski,Polski,6.21
technology,Angielski,Czeski,5.00
technology,Francuski,Wloski,5.74
technology,Francuski,Hiszpanski,7.37
technology,Francuski,Niemiecki,7.42
technology,Francuski,Polski,8.37
technology,Francuski,Czeski,8.05
technology,Wloski,Hiszpanski,4.68
technology,Wloski,Niemiecki,6.11
technology,Wloski,Polski,7.53
technology,Wloski,Czeski,7.42
technology,Hiszpanski,Niemiecki,7.16
technology,Hiszpanski,Polski,8.58
technology,Hiszpanski,Czeski,8.00
technology,Niemiecki,Polski,6.79
technology,Niemiecki,Czeski,5.42
technology,Polski,Czeski,7.68
colors,Angielski,Francuski,3.00
colors,Angielski,Wloski,3.92
colors,Angielski,Hiszpanski,4.20
colors,Angielski,Niemiecki,3.04
colors,Angielski,Polski,5.80
colors,Angielski,Czeski,4.92
colors,Francuski,Wloski,2.80
colors,Francuski,Hiszpanski,3.48
colors,Francuski,Niemiecki,3.32
colors,Francuski,Polski,5.60
colors,Francuski,Czeski,5.16
colors,Wloski,Hiszpanski,2.72
colors,Wloski,Niemiecki,4.20
colors,Wloski,Polski,5.80
colors,Wloski,Czeski,5.20
colors,Hiszpanski,Niemiecki,4.56
colors,Hiszpanski,Polski,5.80
colors,Hiszpanski,Czeski,5.72
colors,Niemiecki,Polski,5.52
colors,Niemiecki,Czeski,5.24
colors,Polski,Czeski,4.56
animals,Angielski,Francuski,3.73
animals,Angielski,Wloski,4.52
animals,Angielski,Hiszpanski,4.13
animals,Angielski,Niemiecki,4.60
animals,Angielski,Polski,4.76
animals,Angielski,Czeski,4.66
animals,Francuski,Wloski,4.04
animals,Francuski,Hiszpanski,3.82
animals,Francuski,Niemiecki,5.00
animals,Francuski,Polski,5.08
animals,Francuski,Czeski,4.89
animals,Wloski,Hiszpanski,3.22
animals,Wloski,Niemiecki,5.30
animals,Wloski,Polski,5.10
animals,Wloski,Czeski,5.13
animals,Hiszpanski,Niemiecki,5.26
animals,Hiszpanski,Polski,5.08
animals,Hiszpanski,Czeski,4.88
animals,Niemiecki,Polski,5.30
animals,Niemiecki,Czeski,5.03
animals,Polski,Czeski,3.09
vegetables,Angielski,Francuski,4.77
vegetables,Angielski,Wloski,5.35
vegetables,Angielski,Hiszpanski,5.30
vegetables,Angielski,Niemiecki,5.07
vegetables,Angielski,Polski,6.58
vegetables,Angielski,Czeski,5.26
vegetables,Francuski,Wloski,5.53
vegetables,Francuski,Hiszpanski,5.49
vegetables,Francuski,Niemiecki,5.95
vegetables,Francuski,Polski,7.00
vegetables,Francuski,Czeski,6.14
vegetables,Wloski,Hiszpanski,4.86
vegetables,Wloski,Niemiecki,6.26
vegetables,Wloski,Polski,6.05
vegetables,Wloski,Czeski,5.88
vegetables,Hiszpanski,Niemiecki,6.26
vegetables,Hiszpanski,Polski,6.79
vegetables,Hiszpanski,Czeski,6.19
vegetables,Niemiecki,Polski,7.02
vegetables,Niemiecki,Czeski,5.42
vegetables,Polski,Czeski,5.28
fruits,Angielski,Francuski,3.66
fruits,Angielski,Wloski,4.41
fruits,Angielski,Hiszpanski,4.31
fruits,Angielski,Niemiecki,4.26
fruits,Angielski,Polski,5.05
fruits,Angielski,Czeski,4.03
fruits,Francuski,Wloski,3.82
fruits,Francuski,Hiszpanski,4.11
fruits,Francuski,Niemiecki,4.98
fruits,Francuski,Polski,4.93
fruits,Francuski,Czeski,4.31
fruits,Wloski,Hiszpanski,3.74
fruits,Wloski,Niemiecki,5.70
fruits,Wloski,Polski,4.97
fruits,Wloski,Czeski,4.85
fruits,Hiszpanski,Niemiecki,5.79
fruits,Hiszpanski,Polski,5.15
fruits,Hiszpanski,Czeski,4.97
fruits,Niemiecki,Polski,6.13
fruits,Niemiecki,Czeski,5.26
fruits,Polski,Czeski,4.02
