Kategoria,Język 1,Język 2,Średnia odległość Levenshteina
places_in_town,Angielski,Francuski,6.00
places_in_town,Angielski,Wloski,7.00
places_in_town,Angielski,Hiszpanski,6.77
places_in_town,Angielski,Niemiecki,4.92
places_in_town,Angielski,Polski,5.46
places_in_town,Angielski,Czeski,5.92
places_in_town,Francuski,Wloski,6.85
places_in_town,Francuski,Hiszpanski,6.38
places_in_town,Francuski,Niemiecki,6.54
places_in_town,Francuski,Polski,6.38
places_in_town,Francuski,Czeski,7.54
places_in_town,Wloski,Hiszpanski,4.92
places_in_town,Wloski,Niemiecki,7.77
places_in_town,Wloski,Polski,6.31
places_in_town,Wloski,Czeski,7.54
places_in_town,Hiszpanski,Niemiecki,8.23
places_in_town,Hiszpanski,Polski,6.77
places_in_town,Hiszpanski,Czeski,8.46
places_in_town,Niemiecki,Polski,6.31
places_in_town,Niemiecki,Czeski,6.46
places_in_town,Polski,Czeski,6.08
jobs,Angielski,Francuski,3.67
jobs,Angielski,Wloski,8.67
jobs,Angielski,Hiszpanski,4.33
jobs,Angielski,Niemiecki,7.67
jobs,Angielski,Polski,7.33
jobs,Angielski,Czeski,8.33
jobs,Francuski,Wloski,10.67
jobs,Francuski,Hiszpanski,5.33
jobs,Francuski,Niemiecki,9.33
jobs,Francuski,Polski,8.33
jobs,Francuski,Czeski,10.33
jobs,Wloski,Hiszpanski,7.33
jobs,Wloski,Niemiecki,9.67
jobs,Wloski,Polski,9.00
jobs,Wloski,Czeski,9.33
jobs,Hiszpanski,Niemiecki,9.33
jobs,Hiszpanski,Polski,8.00
jobs,Hiszpanski,Czeski,8.33
jobs,Niemiecki,Polski,9.33
jobs,Niemiecki,Czeski,10.00
jobs,Polski,Czeski,8.33
hobbies,Angielski,Francuski,7.96
hobbies,Angielski,Wloski,9.12
hobbies,Angielski,Hiszpanski,8.21
hobbies,Angielski,Niemiecki,7.38
hobbies,Angielski,Polski,7.50
hobbies,Angielski,Czeski,7.71
hobbies,Francuski,Wloski,8.46
hobbies,Francuski,Hiszpanski,8.75
hobbies,Francuski,Niemiecki,9.46
hobbies,Francuski,Polski,9.62
hobbies,Francuski,Czeski,10.00
hobbies,Wloski,Hiszpanski,9.12
hobbies,Wloski,Niemiecki,10.08
hobbies,Wloski,Polski,10.29
hobbies,Wloski,Czeski,10.83
hobbies,Hiszpanski,Niemiecki,9.67
hobbies,Hiszpanski,Polski,9.29
hobbies,Hiszpanski,Czeski,9.75
hobbies,Niemiecki,Polski,9.12
hobbies,Niemiecki,Czeski,9.08
hobbies,Polski,Czeski,7.71
drinks,Angielski,Francuski,3.57
drinks,Angielski,Wloski,4.46
drinks,Angielski,Hiszpanski,4.86
drinks,Angielski,Niemiecki,3.64
drinks,Angielski,Polski,4.43
drinks,Angielski,Czeski,4.07
drinks,Francuski,Wloski,3.86
drinks,Francuski,Hiszpanski,5.00
drinks,Francuski,Niemiecki,4.57
drinks,Francuski,Polski,4.96
drinks,Francuski,Czeski,4.82
drinks,Wloski,Hiszpanski,3.64
